stop_id,new_stop_id
4037,638
4069,639
4070,640
4071,641
4072,642
4073,643
4074,644
4075,645
4076,646
4078,647
4079,648
4080,649
4081,650
4082,651
4087,652
4088,653
4089,654
4090,655
4091,656
4092,657
4093,658
4094,659
4095,660
4096,661
4097,662
4098,663
4099,664
4100,665
4101,666
4103,667
4105,668
4106,669
4107,670
4108,671
4111,672
4114,673
4115,674
4116,675
4118,676
4119,677
4120,678
4122,679
4123,680
4124,681
4125,682
4126,683
4127,684
4128,685
4129,686
4130,687
4131,688
4132,689
4137,690
4138,691
4139,692
4142,693
4143,694
4145,695
4146,696
4147,697
4148,698
4149,699
4150,700
4151,701
4152,702
4153,703
4154,704
4155,705
4156,706
4157,707
4158,708
4159,709
4160,710
4161,711
4162,712
4163,713
4164,714
4165,715
4166,716
4167,717
4168,718
4169,719
4170,720
4171,721
4172,722
4173,723
4174,724
4175,725
4176,726
4177,727
4178,728
4179,729
4180,730
4181,731
4182,732
4183,733
4184,734
4185,735
4186,736
4187,737
4188,738
4189,739
4190,740
4191,741
4192,742
4195,743
4196,744
4197,745
4198,746
4199,747
4200,748
4201,749
4202,750
4203,751
4204,752
4205,753
4207,754
4209,755
4210,756
4211,757
4212,758
4213,759
4215,760
4218,761
4221,762
4222,763
4223,764
4224,765
4225,766
4226,767
4227,768
4228,769
4229,770
4230,771
4231,772
4232,773
4233,774
4234,775
4235,776
4236,777
4238,778
4245,779
4246,780
4247,781
4248,782
4253,783
4254,784
4255,785
4256,786
4257,787
4258,788
4259,789
4260,790
4263,791
4264,792
4265,793
4266,794
4267,795
4268,796
4269,797
4270,798
4271,799
4272,800
4273,801
4274,802
4275,803
4277,804
4278,805
4279,806
4280,807
4281,808
4282,809
4283,810
4285,811
4286,812
4288,813
4289,814
4290,815
4291,816
4292,817
4293,818
4294,819
4295,820
4298,821
4300,822
4301,823
4302,824
4303,825
4304,826
4305,827
4307,828
4308,829
4309,830
4310,831
4311,832
4312,833
4313,834
4314,835
4315,836
4316,837
4317,838
4318,839
4319,840
4320,841
4321,842
4322,843
4323,844
4324,845
4325,846
4326,847
4327,848
4328,849
4329,850
4330,851
4331,852
4332,853
4333,854
4334,855
4335,856
4336,857
4337,858
4338,859
4341,860
4350,861
4351,862
4352,863
4353,864
4354,865
4355,866
4356,867
4357,868
4358,869
4359,870
4360,871
4361,872
4362,873
4363,874
4364,875
4366,876
4367,877
4368,878
4369,879
4371,880
4372,881
4373,882
4374,883
4375,884
4376,885
4377,886
4378,887
4379,888
4380,889
4381,890
4382,891
4383,892
4384,893
4385,894
4386,895
4387,896
4388,897
4389,898
4390,899
4391,900
4392,901
4393,902
4394,903
4395,904
4397,905
4398,906
4399,907
4400,908
4401,909
4402,910
4403,911
4404,912
4405,913
4407,914
4408,915
4409,916
4410,917
4411,918
4412,919
4413,920
4414,921
4415,922
4418,923
4421,924
4422,925
4423,926
4424,927
4425,928
4426,929
4427,930
4428,931
4429,932
4430,933
4431,934
4432,935
4433,936
4434,937
4435,938
4436,939
4437,940
4438,941
4439,942
4440,943
4443,944
4444,945
4445,946
4447,947
4451,948
4453,949
4454,950
4455,951
4456,952
4472,953
4473,954
4474,955
4475,956
4476,957
4477,958
4478,959
4479,960
4480,961
4481,962
4482,963
4483,964
4484,965
4485,966
4487,967
4488,968
4489,969
4490,970
4491,971
4492,972
4493,973
4494,974
4495,975
4501,976
4502,977
4503,978
4504,979
4508,980
4511,981
4513,982
4515,983
4516,984
4517,985
4518,986
4520,987
4529,988
4530,989
4531,990
4532,991
4534,992
4535,993
4536,994
4537,995
4538,996
4539,997
4540,998
4543,999
4544,1000
4545,1001
4546,1002
4547,1003
4548,1004
4549,1005
4550,1006
4551,1007
4552,1008
4553,1009
